Lecture/Experiment,Authors
"Lecture 1 (Introduction) Blog Post Summary","Jay Chooi and Natalia Siwek and Atticus Wang"
"Lecture 1 (Introduction) Experiment: Some Generalizations of Emergent Misalignment","Valerio Pepe"
"Lecture 2 (Modern LLM Training) Blog Post Summary","Justin Y. Chen"
"Lecture 2 (Modern LLM Training) Experiment: Optimizing Prompts with Reinforcement Learning","Anastasia Ahani and Atticus Wang"
"Lecture 3 (Adversarial Robustness, Jailbreaks, Prompt Injection, Security) Blog Post Summary","Ege Cakar"
"Lecture 3 (Adversarial Robustness, Jailbreaks, Prompt Injection, Security) Experiment: RL for Prompt Injection Attacks","Ely Hahami and Lavik Jain and Emira Ibrahimović"
"Lecture 4 (Model Specifications & Compliance) Experiment: Can We Prompt Our Way to Safety?","Hugh Van Deventer"
"Lecture 5 (Content Policies) Blog Post Summary","Audrey Yang and MB Samuel"
"Lecture 6 (Recursive Self-Improvement) Blog Post Summary","Joshua Qin and Mohammad Khan and Jaray Liu"
"Lecture 8 (Scheming, Reward Hacking & Deception) Experiment: When Honest Work Becomes Impossible","Joey Bejjani and Itamar Rocha Filho and Haichuan Wang and Zidi Xiong"
